#Seconds h0m0 h0m1 h0m2 h1m0 h1m1 h1m2 h2m0 h2m1 h2m2
0 14125 3444 217 5966 1449 87 631 150 7
1e-05 14125 3443 217 5965 1451 87 632 149 7
2e-05 14127 3441 217 5964 1452 87 632 149 7
3e-05 14127 3441 217 5963 1453 87 632 149 7
4e-05 14127 3442 216 5963 1453 87 632 149 7
5e-05 14127 3442 216 5964 1452 86 632 150 7
6e-05 14125 3444 216 5963 1454 85 632 150 7
7e-05 14123 3446 216 5962 1455 85 632 150 7
8e-05 14122 3446 216 5963 1456 84 632 150 7
9e-05 14123 3446 216 5963 1455 84 632 150 7
0.0001 14123 3446 216 5963 1455 84 632 150 7
0.00011 14121 3449 216 5961 1456 84 632 150 7
0.00012 14121 3449 216 5961 1456 84 631 151 7
0.00013 14121 3448 217 5961 1456 84 631 151 7
0.00014 14120 3449 216 5964 1453 85 631 151 7
0.00015 14121 3448 216 5965 1452 85 631 151 7
0.00016 14124 3446 215 5965 1451 86 631 151 7
0.00017 14124 3446 215 5964 1451 87 630 152 7
0.00018 14121 3450 214 5965 1451 87 630 151 7
0.00019 14119 3452 214 5966 1449 87 631 151 7
0.0002 14117 3454 214 5966 1449 87 631 151 7
0.00021 14118 3452 215 5966 1448 88 631 151 7
0.00022 14118 3452 215 5967 1447 88 631 151 7
0.00023 14117 3453 215 5967 1447 88 631 151 7
0.00024 14117 3453 215 5964 1449 89 631 151 7
0.00025 14115 3454 215 5965 1450 88 631 151 7
0.00026 14115 3454 215 5965 1450 88 631 151 7
0.00027 14117 3452 215 5965 1449 88 632 151 7
0.00028 14119 3450 215 5966 1448 88 633 150 7
0.00029 14122 3448 215 5963 1450 88 633 150 7
0.0003 14121 3449 215 5961 1452 88 633 150 7
0.00031 14123 3448 215 5958 1453 88 634 150 7
0.00032 14122 3449 215 5960 1451 88 634 150 7
0.00033 14120 3451 215 5962 1449 88 634 150 7
0.00034 14119 3452 215 5961 1450 87 635 150 7
0.00035 14120 3451 216 5962 1450 86 634 150 7
0.00036 14117 3453 216 5960 1453 86 634 150 7
0.00037 14114 3456 216 5961 1452 86 634 150 7
0.00038 14113 3458 215 5961 1452 86 634 150 7
0.00039 14115 3457 215 5963 1450 86 633 150 7
0.0004 14116 3455 216 5963 1450 86 633 150 7
0.00041 14116 3456 216 5962 1450 86 633 150 7
0.00042 14114 3458 216 5962 1449 87 633 150 7
0.00043 14116 3456 216 5965 1446 87 633 150 7
0.00044 14117 3455 217 5964 1446 87 634 149 7
0.00045 14117 3455 217 5964 1447 86 634 149 7
0.00046 14115 3457 217 5965 1446 86 635 148 7
0.00047 14113 3460 216 5967 1445 86 634 148 7
0.00048 14113 3460 216 5968 1444 86 634 148 7
0.00049 14113 3461 216 5966 1445 86 634 148 7
0.0005 14114 3460 216 5967 1444 86 634 148 7
0.00051 14117 3457 216 5968 1443 86 634 148 7
0.00052 14118 3457 215 5968 1443 86 633 149 7
0.00053 14118 3457 215 5968 1443 86 633 149 7
0.00054 14119 3456 215 5967 1444 86 633 149 7
0.00055 14120 3457 213 5965 1446 86 632 150 7
0.00056 14122 3455 213 5964 1447 86 632 150 7
0.00057 14120 3458 212 5964 1446 87 632 151 6
0.00058 14119 3459 212 5965 1445 87 632 151 6
0.00059 14120 3458 212 5966 1443 88 632 151 6
0.0006 14119 3459 212 5966 1443 88 632 151 6
0.00061 14120 3458 212 5966 1443 88 632 151 6
0.00062 14119 3458 213 5967 1442 88 632 151 6
0.00063 14118 3460 213 5965 1443 88 632 151 6
0.00064 14120 3458 213 5965 1443 88 632 151 6
0.00065 14119 3459 213 5966 1442 88 632 151 6
0.00066 14119 3459 213 5965 1442 88 633 151 6
0.00067 14121 3459 213 5964 1441 88 633 151 6
0.00068 14121 3459 213 5964 1441 88 633 151 6
0.00069 14120 3459 213 5967 1439 88 634 150 6
0.0007 14120 3459 213 5967 1439 88 634 150 6
0.00071 14119 3458 213 5969 1439 88 634 150 6
0.00072 14116 3460 213 5970 1439 88 634 150 6
0.00073 14117 3459 213 5969 1440 88 634 150 6
0.00074 14117 3459 213 5972 1436 89 634 150 6
0.00075 14117 3460 212 5971 1437 89 634 150 6
0.00076 14118 3459 212 5972 1435 90 634 150 6
0.00077 14119 3459 212 5973 1433 90 634 150 6
0.00078 14120 3457 212 5974 1432 90 635 150 6
0.00079 14121 3456 212 5971 1434 90 636 150 6
0.0008 14122 3454 211 5970 1436 91 636 150 6
0.00081 14122 3455 211 5969 1436 91 636 150 6
0.00082 14120 3457 211 5972 1433 91 636 150 6
0.00083 14119 3457 212 5972 1433 91 636 150 6
0.00084 14116 3460 212 5972 1433 91 636 150 6
0.00085 14111 3464 212 5973 1433 91 635 151 6
0.00086 14112 3463 212 5975 1431 91 635 151 6
0.00087 14112 3464 212 5974 1431 91 635 151 6
0.00088 14114 3461 213 5973 1432 91 635 151 6
0.00089 14113 3462 213 5974 1431 91 635 151 6
0.0009 14116 3459 213 5975 1430 91 635 151 6
0.00091 14114 3460 213 5979 1427 91 635 151 6
0.00092 14113 3460 214 5979 1428 90 634 152 6
0.00093 14113 3460 214 5979 1428 90 634 152 6
0.00094 14113 3460 214 5980 1427 90 634 152 6
0.00095 14113 3459 214 5980 1428 90 634 152 6
0.00096 14112 3461 214 5979 1428 90 634 152 6
0.00097 14109 3463 214 5981 1427 90 634 152 6
0.00098 14109 3464 213 5981 1427 90 634 152 6
0.00099 14108 3465 213 5981 1427 90 634 152 6
0.001 14111 3462 213 5981 1427 90 634 152 6
0.00101 14109 3464 213 5982 1426 90 634 152 6
0.00102 14112 3462 213 5980 1426 91 635 151 6
0.00103 14111 3463 213 5980 1426 91 636 150 6
0.00104 14110 3464 214 5979 1426 91 636 150 6
0.00105 14109 3466 214 5977 1426 92 636 150 6
0.00106 14109 3465 214 5977 1426 92 638 149 6
0.00107 14109 3464 214 5978 1426 92 638 149 6
0.00108 14110 3463 214 5977 1427 92 638 149 6
0.00109 14110 3463 214 5977 1427 92 638 149 6
0.0011 14109 3463 214 5978 1429 91 638 148 6
0.00111 14110 3462 214 5978 1429 91 638 148 6
0.00112 14110 3462 213 5979 1429 91 638 148 6
0.00113 14110 3462 213 5980 1429 91 637 148 6
0.00114 14107 3465 213 5977 1432 91 638 147 6
0.00115 14108 3464 213 5978 1431 91 638 147 6
0.00116 14107 3466 213 5980 1428 91 638 147 6
0.00117 14104 3469 213 5980 1428 91 637 148 6
0.00118 14103 3469 214 5979 1429 91 637 148 6
0.00119 14106 3466 214 5978 1430 91 637 148 6
0.0012 14105 3467 214 5978 1430 91 637 148 6
0.00121 14107 3465 214 5978 1430 91 637 148 6
0.00122 14103 3468 214 5980 1429 91 638 147 6
0.00123 14101 3470 214 5980 1429 91 638 147 6
0.00124 14104 3468 214 5980 1428 91 638 147 6
0.00125 14104 3467 215 5980 1428 91 638 147 6
0.00126 14103 3468 215 5980 1429 90 638 147 6
0.00127 14106 3466 214 5980 1429 90 638 147 6
0.00128 14111 3462 214 5978 1429 90 639 147 6
0.00129 14113 3460 214 5979 1429 89 638 148 6
0.0013 14114 3461 213 5980 1426 90 638 148 6
0.00131 14114 3461 213 5980 1426 90 638 148 6
0.00132 14113 3462 213 5979 1427 90 638 148 6
0.00133 14112 3463 213 5978 1428 90 637 149 6
0.00134 14114 3460 214 5978 1427 91 637 149 6
0.00135 14115 3460 214 5977 1427 91 637 149 6
0.00136 14114 3462 214 5976 1427 91 637 149 6
0.00137 14112 3462 214 5977 1428 91 637 149 6
0.00138 14114 3460 214 5978 1427 91 637 149 6
0.00139 14114 3460 214 5978 1427 91 637 149 6
0.0014 14112 3461 214 5978 1428 91 637 149 6
0.00141 14112 3460 215 5978 1428 91 637 149 6
0.00142 14113 3459 215 5978 1428 91 637 149 6
0.00143 14113 3459 215 5980 1426 91 637 149 6
0.00144 14117 3454 216 5982 1424 91 637 149 6
0.00145 14119 3453 216 5979 1426 91 637 149 6
0.00146 14117 3455 216 5979 1426 91 637 149 6
0.00147 14117 3455 216 5978 1427 91 637 149 6
0.00148 14117 3455 216 5977 1429 90 636 150 6
0.00149 14115 3458 215 5977 1429 90 637 149 6
0.0015 14114 3457 215 5978 1429 91 637 149 6
0.00151 14113 3457 215 5979 1429 91 636 150 6
0.00152 14112 3458 215 5979 1429 91 636 150 6
0.00153 14116 3454 215 5978 1429 92 636 150 6
0.00154 14116 3454 215 5976 1431 92 637 149 6
0.00155 14116 3454 215 5978 1429 92 637 149 6
0.00156 14114 3455 216 5978 1429 92 637 149 6
0.00157 14111 3459 216 5975 1431 92 637 149 6
0.00158 14112 3458 216 5975 1431 92 637 149 6
0.00159 14113 3456 217 5976 1430 92 637 149 6
0.0016 14111 3457 217 5977 1430 92 637 149 6
0.00161 14114 3454 217 5978 1430 91 637 149 6
0.00162 14114 3454 217 5977 1431 91 637 149 6
0.00163 14114 3453 218 5976 1431 92 637 149 6
0.00164 14112 3454 219 5975 1433 91 638 148 6
0.00165 14112 3454 219 5975 1433 91 638 148 6
0.00166 14112 3454 219 5976 1432 91 638 148 6
0.00167 14110 3455 220 5976 1432 91 638 148 6
0.00168 14114 3452 219 5976 1432 91 638 148 6
0.00169 14116 3451 219 5975 1432 91 638 148 6
0.0017 14116 3450 219 5977 1431 91 638 148 6
0.00171 14116 3450 219 5976 1432 91 638 148 6
0.00172 14117 3450 219 5978 1429 91 638 148 6
0.00173 14117 3449 219 5979 1429 91 638 148 6
0.00174 14118 3448 219 5982 1426 91 638 148 6
0.00175 14116 3449 219 5982 1426 92 638 148 6
